DISTRICT,YEAR,DL0912DR*R,DF0912DR*R,DH0912DR*R,DI0912DR*R,DW0912DR*R,DE0912DR*R,DA0912DR*R,D40912DR*R,DR0912DR*R,D30912DR*R,DB0912DR*R,DS0912DR*R,D20912DR*R,DM0912DR*R
'057910,1998,,,,,,,,,,,,,,
'057911,1998,,,,,,,,,,,,,,
'057912,1998,,,,,,,,,,,,,,
'057913,1998,,,,,,,,,,,,,,
'057914,1998,,,,,,,,,,,,,,
'057916,1998,,,,,,,,,,,,,,
'057919,1998,,,,,,,,,,,,,,
'057920,1998,,,,,,,,,,,,,,
'057922,1998,,,,,,,,,,,,,,
'058902,1998,,,,,,,,,,,,,,
'058905,1998,,,,,,,,,,,,,,
'058906,1998,,,,,,,,,,,,,,
'058909,1998,,,,,,,,,,,,,,
'059901,1998,,,,,,,,,,,,,,
'059902,1998,,,,,,,,,,,,,,
'060902,1998,,,,,,,,,,,,,,
'060914,1998,,,,,,,,,,,,,,
'061901,1998,,,,,,,,,,,,,,
'061902,1998,,,,,,,,,,,,,,
'061903,1998,,,,,,,,,,,,,,
'061905,1998,,,,,,,,,,,,,,
'061906,1998,,,,,,,,,,,,,,
'061907,1998,,,,,,,,,,,,,,
'061908,1998,,,,,,,,,,,,,,
'061910,1998,,,,,,,,,,,,,,
'061911,1998,,,,,,,,,,,,,,
'061912,1998,,,,,,,,,,,,,,
'061914,1998,,,,,,,,,,,,,,
'062901,1998,,,,,,,,,,,,,,
'062902,1998,,,,,,,,,,,,,,
'062903,1998,,,,,,,,,,,,,,
'062904,1998,,,,,,,,,,,,,,
'062905,1998,,,,,,,,,,,,,,
'062906,1998,,,,,,,,,,,,,,
'063903,1998,,,,,,,,,,,,,,
'063906,1998,,,,,,,,,,,,,,
'064901,1998,,,,,,,,,,,,,,
'064903,1998,,,,,,,,,,,,,,
'065901,1998,,,,,,,,,,,,,,
'065902,1998,,,,,,,,,,,,,,
'066005,1998,,,,,,,,,,,,,,
'066901,1998,,,,,,,,,,,,,,
'066902,1998,,,,,,,,,,,,,,
'066903,1998,,,,,,,,,,,,,,
'067902,1998,,,,,,,,,,,,,,
'067903,1998,,,,,,,,,,,,,,
'067904,1998,,,,,,,,,,,,,,
'067907,1998,,,,,,,,,,,,,,
'067908,1998,,,,,,,,,,,,,,
'068901,1998,,,,,,,,,,,,,,
'069901,1998,,,,,,,,,,,,,,
'069902,1998,,,,,,,,,,,,,,
'070901,1998,,,,,,,,,,,,,,
'070903,1998,,,,,,,,,,,,,,
'070905,1998,,,,,,,,,,,,,,
'070907,1998,,,,,,,,,,,,,,
'070908,1998,,,,,,,,,,,,,,
'070909,1998,,,,,,,,,,,,,,
'070910,1998,,,,,,,,,,,,,,
'070911,1998,,,,,,,,,,,,,,
'070912,1998,,,,,,,,,,,,,,
'070915,1998,,,,,,,,,,,,,,
'071901,1998,,,,,,,,,,,,,,
'071902,1998,,,,,,,,,,,,,,
'071903,1998,,,,,,,,,,,,,,
'071904,1998,,,,,,,,,,,,,,
'071905,1998,,,,,,,,,,,,,,
'071906,1998,,,,,,,,,,,,,,
'071907,1998,,,,,,,,,,,,,,
'071908,1998,,,,,,,,,,,,,,
'071909,1998,,,,,,,,,,,,,,
'072901,1998,,,,,,,,,,,,,,
'072902,1998,,,,,,,,,,,,,,
'072903,1998,,,,,,,,,,,,,,
'072904,1998,,,,,,,,,,,,,,
'072908,1998,,,,,,,,,,,,,,
'072909,1998,,,,,,,,,,,,,,
'072910,1998,,,,,,,,,,,,,,
'073901,1998,,,,,,,,,,,,,,
'073903,1998,,,,,,,,,,,,,,
'073904,1998,,,,,,,,,,,,,,
'073905,1998,,,,,,,,,,,,,,
'074903,1998,,,,,,,,,,,,,,
'074904,1998,,,,,,,,,,,,,,
'074905,1998,,,,,,,,,,,,,,
'074907,1998,,,,,,,,,,,,,,
'074909,1998,,,,,,,,,,,,,,
'074911,1998,,,,,,,,,,,,,,
'074912,1998,,,,,,,,,,,,,,
'074917,1998,,,,,,,,,,,,,,
'075901,1998,,,,,,,,,,,,,,
'075902,1998,,,,,,,,,,,,,,
'075903,1998,,,,,,,,,,,,,,
'075906,1998,,,,,,,,,,,,,,
'075908,1998,,,,,,,,,,,,,,
'076903,1998,,,,,,,,,,,,,,
'076904,1998,,,,,,,,,,,,,,
'077901,1998,,,,,,,,,,,,,,
'077902,1998,,,,,,,,,,,,,,
'078901,1998,,,,,,,,,,,,,,
'079901,1998,,,,,,,,,,,,,,
'079906,1998,,,,,,,,,,,,,,
'079907,1998,,,,,,,,,,,,,,
'079908,1998,,,,,,,,,,,,,,
'079910,1998,,,,,,,,,,,,,,
'080901,1998,,,,,,,,,,,,,,
'081902,1998,,,,,,,,,,,,,,
'081904,1998,,,,,,,,,,,,,,
'081905,1998,,,,,,,,,,,,,,
'081906,1998,,,,,,,,,,,,,,
'082902,1998,,,,,,,,,,,,,,
'082903,1998,,,,,,,,,,,,,,
'083901,1998,,,,,,,,,,,,,,
'083902,1998,,,,,,,,,,,,,,
'083903,1998,,,,,,,,,,,,,,
'084901,1998,,,,,,,,,,,,,,
'084902,1998,,,,,,,,,,,,,,
'084903,1998,,,,,,,,,,,,,,
'084904,1998,,,,,,,,,,,,,,
'084906,1998,,,,,,,,,,,,,,
'084908,1998,,,,,,,,,,,,,,
'084909,1998,,,,,,,,,,,,,,
'084910,1998,,,,,,,,,,,,,,
'084911,1998,,,,,,,,,,,,,,
'085902,1998,,,,,,,,,,,,,,
'085903,1998,,,,,,,,,,,,,,
'086024,1998,,,,,,,,,,,,,,
'086901,1998,,,,,,,,,,,,,,
'086902,1998,,,,,,,,,,,,,,
'087901,1998,,,,,,,,,,,,,,
'088902,1998,,,,,,,,,,,,,,
'089901,1998,,,,,,,,,,,,,,
'089903,1998,,,,,,,,,,,,,,
'089905,1998,,,,,,,,,,,,,,
'090902,1998,,,,,,,,,,,,,,
'090903,1998,,,,,,,,,,,,,,
'090904,1998,,,,,,,,,,,,,,
'090905,1998,,,,,,,,,,,,,,
'091901,1998,,,,,,,,,,,,,,
'091902,1998,,,,,,,,,,,,,,
'091903,1998,,,,,,,,,,,,,,
'091905,1998,,,,,,,,,,,,,,
'091906,1998,,,,,,,,,,,,,,
'091907,1998,,,,,,,,,,,,,,
'091908,1998,,,,,,,,,,,,,,
'091909,1998,,,,,,,,,,,,,,
'091910,1998,,,,,,,,,,,,,,
'091913,1998,,,,,,,,,,,,,,
'091914,1998,,,,,,,,,,,,,,
'091917,1998,,,,,,,,,,,,,,
'091918,1998,,,,,,,,,,,,,,
'092901,1998,,,,,,,,,,,,,,
'092902,1998,,,,,,,,,,,,,,
'092903,1998,,,,,,,,,,,,,,
'092904,1998,,,,,,,,,,,,,,
'092906,1998,,,,,,,,,,,,,,
'092907,1998,,,,,,,,,,,,,,
'092908,1998,,,,,,,,,,,,,,
'093901,1998,,,,,,,,,,,,,,
'093903,1998,,,,,,,,,,,,,,
'093904,1998,,,,,,,,,,,,,,
'093905,1998,,,,,,,,,,,,,,
'094901,1998,,,,,,,,,,,,,,
'094902,1998,,,,,,,,,,,,,,
'094903,1998,,,,,,,,,,,,,,
'094904,1998,,,,,,,,,,,,,,
'095901,1998,,,,,,,,,,,,,,
'095902,1998,,,,,,,,,,,,,,
'095903,1998,,,,,,,,,,,,,,
'095904,1998,,,,,,,,,,,,,,
'095905,1998,,,,,,,,,,,,,,
'096904,1998,,,,,,,,,,,,,,
'096905,1998,,,,,,,,,,,,,,
'096908,1998,,,,,,,,,,,,,,
'097902,1998,,,,,,,,,,,,,,
'097903,1998,,,,,,,,,,,,,,
'098901,1998,,,,,,,,,,,,,,
'098903,1998,,,,,,,,,,,,,,
'098904,1998,,,,,,,,,,,,,,
'099902,1998,,,,,,,,,,,,,,
'099903,1998,,,,,,,,,,,,,,
'100903,1998,,,,,,,,,,,,,,
'100904,1998,,,,,,,,,,,,,,
'100905,1998,,,,,,,,,,,,,,
'100907,1998,,,,,,,,,,,,,,
'100908,1998,,,,,,,,,,,,,,
'101801,1998,,,,,,,,,,,,,,
'101802,1998,,,,,,,,,,,,,,
'101803,1998,,,,,,,,,,,,,,
'101804,1998,,,,,,,,,,,,,,
'101805,1998,,,,,,,,,,,,,,
'101806,1998,,,,,,,,,,,,,,
'101807,1998,,,,,,,,,,,,,,
'101902,1998,,,,,,,,,,,,,,
'101903,1998,,,,,,,,,,,,,,
'101905,1998,,,,,,,,,,,,,,
'101906,1998,,,,,,,,,,,,,,
'101907,1998,,,,,,,,,,,,,,
'101908,1998,,,,,,,,,,,,,,
'101909,1998,,,,,,,,,,,,,,
'101910,1998,,,,,,,,,,,,,,
'101911,1998,,,,,,,,,,,,,,
'101912,1998,,,,,,,,,,,,,,
'101913,1998,,,,,,,,,,,,,,
'101914,1998,,,,,,,,,,,,,,
'101915,1998,,,,,,,,,,,,,,
'101916,1998,,,,,,,,,,,,,,
'101917,1998,,,,,,,,,,,,,,
'101919,1998,,,,,,,,,,,,,,
'101920,1998,,,,,,,,,,,,,,
'101921,1998,,,,,,,,,,,,,,
'101924,1998,,,,,,,,,,,,,,
'101925,1998,,,,,,,,,,,,,,
'102901,1998,,,,,,,,,,,,,,
'102902,1998,,,,,,,,,,,,,,
'102903,1998,,,,,,,,,,,,,,
'102904,1998,,,,,,,,,,,,,,
'102905,1998,,,,,,,,,,,,,,
'102906,1998,,,,,,,,,,,,,,
'103901,1998,,,,,,,,,,,,,,
'103902,1998,,,,,,,,,,,,,,
'104901,1998,,,,,,,,,,,,,,
'104902,1998,,,,,,,,,,,,,,
'104903,1998,,,,,,,,,,,,,,
'104907,1998,,,,,,,,,,,,,,
'105902,1998,,,,,,,,,,,,,,
'105904,1998,,,,,,,,,,,,,,
'105905,1998,,,,,,,,,,,,,,
'105906,1998,,,,,,,,,,,,,,
'106901,1998,,,,,,,,,,,,,,
'107901,1998,,,,,,,,,,,,,,
'107902,1998,,,,,,,,,,,,,,
'107904,1998,,,,,,,,,,,,,,
'107905,1998,,,,,,,,,,,,,,
'107906,1998,,,,,,,,,,,,,,
'107907,1998,,,,,,,,,,,,,,
'107908,1998,,,,,,,,,,,,,,
'107910,1998,,,,,,,,,,,,,,
'108801,1998,,,,,,,,,,,,,,
'108902,1998,,,,,,,,,,,,,,
'108903,1998,,,,,,,,,,,,,,
'108904,1998,,,,,,,,,,,,,,
'108905,1998,,,,,,,,,,,,,,
'108906,1998,,,,,,,,,,,,,,
'108907,1998,,,,,,,,,,,,,,
'108908,1998,,,,,,,,,,,,,,
'108909,1998,,,,,,,,,,,,,,
'108910,1998,,,,,,,,,,,,,,
'108911,1998,,,,,,,,,,,,,,
'108912,1998,,,,,,,,,,,,,,
'108913,1998,,,,,,,,,,,,,,
'108914,1998,,,,,,,,,,,,,,
'108915,1998,,,,,,,,,,,,,,
'108916,1998,,,,,,,,,,,,,,
'109901,1998,,,,,,,,,,,,,,
'109902,1998,,,,,,,,,,,,,,
'109903,1998,,,,,,,,,,,,,,
'109904,1998,,,,,,,,,,,,,,
'109905,1998,,,,,,,,,,,,,,
'109907,1998,,,,,,,,,,,,,,
'109908,1998,,,,,,,,,,,,,,
'109910,1998,,,,,,,,,,,,,,
'109911,1998,,,,,,,,,,,,,,
'109912,1998,,,,,,,,,,,,,,
'109913,1998,,,,,,,,,,,,,,
'109914,1998,,,,,,,,,,,,,,
'110901,1998,,,,,,,,,,,,,,
'110902,1998,,,,,,,,,,,,,,
'110905,1998,,,,,,,,,,,,,,
'110906,1998,,,,,,,,,,,,,,
'110907,1998,,,,,,,,,,,,,,
'110908,1998,,,,,,,,,,,,,,
'111901,1998,,,,,,,,,,,,,,
'111902,1998,,,,,,,,,,,,,,
'111903,1998,,,,,,,,,,,,,,
'112901,1998,,,,,,,,,,,,,,
'112905,1998,,,,,,,,,,,,,,
'112906,1998,,,,,,,,,,,,,,
'112907,1998,,,,,,,,,,,,,,
'112908,1998,,,,,,,,,,,,,,
'112909,1998,,,,,,,,,,,,,,
'112910,1998,,,,,,,,,,,,,,
'113901,1998,,,,,,,,,,,,,,
'113902,1998,,,,,,,,,,,,,,
'113903,1998,,,,,,,,,,,,,,
'113905,1998,,,,,,,,,,,,,,
'113906,1998,,,,,,,,,,,,,,
'114901,1998,,,,,,,,,,,,,,
'114902,1998,,,,,,,,,,,,,,
'114904,1998,,,,,,,,,,,,,,
'115901,1998,,,,,,,,,,,,,,
'115902,1998,,,,,,,,,,,,,,
'115903,1998,,,,,,,,,,,,,,
'116901,1998,,,,,,,,,,,,,,
'116902,1998,,,,,,,,,,,,,,
'116903,1998,,,,,,,,,,,,,,
'116905,1998,,,,,,,,,,,,,,
'116906,1998,,,,,,,,,,,,,,
'116908,1998,,,,,,,,,,,,,,
'116909,1998,,,,,,,,,,,,,,
'116910,1998,,,,,,,,,,,,,,
'116915,1998,,,,,,,,,,,,,,
'116916,1998,,,,,,,,,,,,,,
'117901,1998,,,,,,,,,,,,,,
'117903,1998,,,,,,,,,,,,,,
'117904,1998,,,,,,,,,,,,,,
'117907,1998,,,,,,,,,,,,,,
'118902,1998,,,,,,,,,,,,,,
'119901,1998,,,,,,,,,,,,,,
'119902,1998,,,,,,,,,,,,,,
'119903,1998,,,,,,,,,,,,,,
'120901,1998,,,,,,,,,,,,,,
'120902,1998,,,,,,,,,,,,,,
'120905,1998,,,,,,,,,,,,,,
'121902,1998,,,,,,,,,,,,,,
'121903,1998,,,,,,,,,,,,,,
'121904,1998,,,,,,,,,,,,,,
'121905,1998,,,,,,,,,,,,,,
'121906,1998,,,,,,,,,,,,,,
'122901,1998,,,,,,,,,,,,,,
'122902,1998,,,,,,,,,,,,,,
'123905,1998,,,,,,,,,,,,,,
'123907,1998,,,,,,,,,,,,,,
'123908,1998,,,,,,,,,,,,,,
'123910,1998,,,,,,,,,,,,,,
'123913,1998,,,,,,,,,,,,,,
'123914,1998,,,,,,,,,,,,,,
'124901,1998,,,,,,,,,,,,,,
'125901,1998,,,,,,,,,,,,,,
'125902,1998,,,,,,,,,,,,,,
'125903,1998,,,,,,,,,,,,,,
'125905,1998,,,,,,,,,,,,,,
'125906,1998,,,,,,,,,,,,,,
'126901,1998,,,,,,,,,,,,,,
'126902,1998,,,,,,,,,,,,,,
'126903,1998,,,,,,,,,,,,,,
'126904,1998,,,,,,,,,,,,,,
'126905,1998,,,,,,,,,,,,,,
'126906,1998,,,,,,,,,,,,,,
'126907,1998,,,,,,,,,,,,,,
'126908,1998,,,,,,,,,,,,,,
'126911,1998,,,,,,,,,,,,,,
'127901,1998,,,,,,,,,,,,,,
'127903,1998,,,,,,,,,,,,,,
'127904,1998,,,,,,,,,,,,,,
'127905,1998,,,,,,,,,,,,,,
'127906,1998,,,,,,,,,,,,,,
'128901,1998,,,,,,,,,,,,,,
'128902,1998,,,,,,,,,,,,,,
'128903,1998,,,,,,,,,,,,,,
'128904,1998,,,,,,,,,,,,,,
'129901,1998,,,,,,,,,,,,,,
'129902,1998,,,,,,,,,,,,,,
'129903,1998,,,,,,,,,,,,,,
'129904,1998,,,,,,,,,,,,,,
'129905,1998,,,,,,,,,,,,,,
'129906,1998,,,,,,,,,,,,,,
'129910,1998,,,,,,,,,,,,,,
'130901,1998,,,,,,,,,,,,,,
'130902,1998,,,,,,,,,,,,,,
'131001,1998,,,,,,,,,,,,,,
'132902,1998,,,,,,,,,,,,,,
'133901,1998,,,,,,,,,,,,,,
'133902,1998,,,,,,,,,,,,,,
'133903,1998,,,,,,,,,,,,,,
'133904,1998,,,,,,,,,,,,,,
'133905,1998,,,,,,,,,,,,,,
'134901,1998,,,,,,,,,,,,,,
'135001,1998,,,,,,,,,,,,,,
'136901,1998,,,,,,,,,,,,,,
'137901,1998,,,,,,,,,,,,,,
'137902,1998,,,,,,,,,,,,,,
'137903,1998,,,,,,,,,,,,,,
'137904,1998,,,,,,,,,,,,,,
'138901,1998,,,,,,,,,,,,,,
'138902,1998,,,,,,,,,,,,,,
'138903,1998,,,,,,,,,,,,,,
'138904,1998,,,,,,,,,,,,,,
'139905,1998,,,,,,,,,,,,,,
'139908,1998,,,,,,,,,,,,,,
'139909,1998,,,,,,,,,,,,,,
'139911,1998,,,,,,,,,,,,,,
'139912,1998,,,,,,,,,,,,,,
'140901,1998,,,,,,,,,,,,,,
'140904,1998,,,,,,,,,,,,,,
'140905,1998,,,,,,,,,,,,,,
'140906,1998,,,,,,,,,,,,,,
'140907,1998,,,,,,,,,,,,,,
'140908,1998,,,,,,,,,,,,,,
'141901,1998,,,,,,,,,,,,,,
'141902,1998,,,,,,,,,,,,,,
'142901,1998,,,,,,,,,,,,,,
'143901,1998,,,,,,,,,,,,,,
'143902,1998,,,,,,,,,,,,,,
'143903,1998,,,,,,,,,,,,,,
'143904,1998,,,,,,,,,,,,,,
'143905,1998,,,,,,,,,,,,,,
'143906,1998,,,,,,,,,,,,,,
'144901,1998,,,,,,,,,,,,,,
'144902,1998,,,,,,,,,,,,,,
'144903,1998,,,,,,,,,,,,,,
'145901,1998,,,,,,,,,,,,,,
'145902,1998,,,,,,,,,,,,,,
'145906,1998,,,,,,,,,,,,,,
'145907,1998,,,,,,,,,,,,,,
'145911,1998,,,,,,,,,,,,,,
'146901,1998,,,,,,,,,,,,,,
'146902,1998,,,,,,,,,,,,,,
'146903,1998,,,,,,,,,,,,,,
'146904,1998,,,,,,,,,,,,,,
'146905,1998,,,,,,,,,,,,,,
'146906,1998,,,,,,,,,,,,,,
'146907,1998,,,,,,,,,,,,,,
'147901,1998,,,,,,,,,,,,,,
'147902,1998,,,,,,,,,,,,,,
'147903,1998,,,,,,,,,,,,,,
'148901,1998,,,,,,,,,,,,,,
'148902,1998,,,,,,,,,,,,,,
'148903,1998,,,,,,,,,,,,,,
'148905,1998,,,,,,,,,,,,,,
